1	39
2	82
3	120
4	143
5	185
6	225
7	256
8	293
9	323
10	354
11	392
12	430
13	458
14	502
15	512
16	558
17	582
18	607
19	635
20	645
21	693
22	692
23	724
24	755
25	709
26	791
27	809
28	815
29	838
30	693
31	853
32	834
33	867
34	821
35	845
36	908
37	925
38	899
39	852
40	926
41	960
42	923
43	798
44	935
45	930
46	861
47	928
48	855
49	948
50	925
51	883
52	864
53	867
54	963
55	934
56	831
57	914
58	959
59	892
60	748
61	871
62	911
63	932
64	868
65	854
66	960
67	947
68	927
69	869
70	967
71	985
72	962
73	891
74	919
75	922
76	912
77	818
78	955
79	920
80	932
81	842
82	933
83	925
84	947
85	931
86	915
87	899
88	877
89	824
90	875
91	930
92	916
93	809
94	862
95	920
96	947
97	842
98	882
99	869
100	831
